county,precinct,office,district,party,candidate,votes,winner
Allegany,,President,,Democratic,Bill Clinton/Albert Gore Jr.,11025,TRUE
Allegany,,President,,Republican,Bob Dole/Jack Kemp,12136,
Allegany,,President,,Libertarian,Harry Browne/Jo Joregensen,108,
Allegany,,President,,Reform,Ross Perot/James Campbell,2652,
Allegany,,President,,Natural-Law,John Hagelin/Vinton Tompkins,33,
Allegany,,President,,Taxpayers,Howard Phillips/Herbert W. Titus,42,
Allegany,,President,,Democratic,Willie Felix Carter,0,
Allegany,,President,,Democratic,Eldrige Kennedy Hodge,0,
Allegany,,President,,Republican,Harriet H. Gleason,0,
Allegany,,President,,Republican,Jack Marbardy/Bill Carroll,0,
Allegany,,President,,Republican,Isabell Masters,0,
Allegany,,President,,Independent,Charles E. Collins/Rosemary Giumarra,1,
Allegany,,President,,Independent,Keith Judd,0,
Allegany,,President,,Independent,Ralph Nader,5,
Allegany,,President,,Other,Mary Cal Hollis,0,
Anne Arundel,,President,,Democratic,Bill Clinton/Albert Gore Jr.,72147,TRUE
Anne Arundel,,President,,Republican,Bob Dole/Jack Kemp,83574,
Anne Arundel,,President,,Libertarian,Harry Browne/Jo Joregensen,908,
Anne Arundel,,President,,Reform,Ross Perot/James Campbell,14287,
Anne Arundel,,President,,Natural-Law,John Hagelin/Vinton Tompkins,187,
Anne Arundel,,President,,Taxpayers,Howard Phillips/Herbert W. Titus,361,
Anne Arundel,,President,,Democratic,Willie Felix Carter,1,
Anne Arundel,,President,,Democratic,Eldrige Kennedy Hodge,0,
Anne Arundel,,President,,Republican,Harriet H. Gleason,2,
Anne Arundel,,President,,Republican,Jack Marbardy/Bill Carroll,0,
Anne Arundel,,President,,Republican,Isabell Masters,0,
Anne Arundel,,President,,Independent,Charles E. Collins/Rosemary Giumarra,0,
Anne Arundel,,President,,Independent,Keith Judd,0,
Anne Arundel,,President,,Independent,Ralph Nader,216,
Anne Arundel,,President,,Other,Mary Cal Hollis,2,
Baltimore City,,President,,Democratic,Bill Clinton/Albert Gore Jr.,145441,TRUE
Baltimore City,,President,,Republican,Bob Dole/Jack Kemp,28467,
Baltimore City,,President,,Libertarian,Harry Browne/Jo Joregensen,888,
Baltimore City,,President,,Reform,Ross Perot/James Campbell,7473,
Baltimore City,,President,,Natural-Law,John Hagelin/Vinton Tompkins,363,
Baltimore City,,President,,Taxpayers,Howard Phillips/Herbert W. Titus,393,
Baltimore City,,President,,Democratic,Willie Felix Carter,1,
Baltimore City,,President,,Democratic,Eldrige Kennedy Hodge,0,
Baltimore City,,President,,Republican,Harriet H. Gleason,0,
Baltimore City,,President,,Republican,Jack Marbardy/Bill Carroll,0,
Baltimore City,,President,,Republican,Isabell Masters,0,
Baltimore City,,President,,Independent,Charles E. Collins/Rosemary Giumarra,1,
Baltimore City,,President,,Independent,Keith Judd,0,
Baltimore City,,President,,Independent,Ralph Nader,296,
Baltimore City,,President,,Other,Mary Cal Hollis,0,
Baltimore,,President,,Democratic,Bill Clinton/Albert Gore Jr.,132599,TRUE
Baltimore,,President,,Republican,Bob Dole/Jack Kemp,114449,
Baltimore,,President,,Libertarian,Harry Browne/Jo Joregensen,1592,
Baltimore,,President,,Reform,Ross Perot/James Campbell,20393,
Baltimore,,President,,Natural-Law,John Hagelin/Vinton Tompkins,287,
Baltimore,,President,,Taxpayers,Howard Phillips/Herbert W. Titus,648,
Baltimore,,President,,Democratic,Willie Felix Carter,0,
Baltimore,,President,,Democratic,Eldrige Kennedy Hodge,0,
Baltimore,,President,,Republican,Harriet H. Gleason,0,
Baltimore,,President,,Republican,Jack Marbardy/Bill Carroll,0,
Baltimore,,President,,Republican,Isabell Masters,0,
Baltimore,,President,,Independent,Charles E. Collins/Rosemary Giumarra,0,
Baltimore,,President,,Independent,Keith Judd,0,
Baltimore,,President,,Independent,Ralph Nader,0,
Baltimore,,President,,Other,Mary Cal Hollis,0,
Calvert,,President,,Democratic,Bill Clinton/Albert Gore Jr.,10008,TRUE
Calvert,,President,,Republican,Bob Dole/Jack Kemp,11509,
Calvert,,President,,Libertarian,Harry Browne/Jo Joregensen,66,
Calvert,,President,,Reform,Ross Perot/James Campbell,1932,
Calvert,,President,,Natural-Law,John Hagelin/Vinton Tompkins,18,
Calvert,,President,,Taxpayers,Howard Phillips/Herbert W. Titus,20,
Calvert,,President,,Democratic,Willie Felix Carter,0,
Calvert,,President,,Democratic,Eldrige Kennedy Hodge,0,
Calvert,,President,,Republican,Harriet H. Gleason,0,
Calvert,,President,,Republican,Jack Marbardy/Bill Carroll,0,
Calvert,,President,,Republican,Isabell Masters,0,
Calvert,,President,,Independent,Charles E. Collins/Rosemary Giumarra,0,
Calvert,,President,,Independent,Keith Judd,0,
Calvert,,President,,Independent,Ralph Nader,13,
Calvert,,President,,Other,Mary Cal Hollis,0,
Caroline,,President,,Democratic,Bill Clinton/Albert Gore Jr.,3251,TRUE
Caroline,,President,,Republican,Bob Dole/Jack Kemp,3874,
Caroline,,President,,Libertarian,Harry Browne/Jo Joregensen,63,
Caroline,,President,,Reform,Ross Perot/James Campbell,947,
Caroline,,President,,Natural-Law,John Hagelin/Vinton Tompkins,10,
Caroline,,President,,Taxpayers,Howard Phillips/Herbert W. Titus,26,
Caroline,,President,,Democratic,Willie Felix Carter,0,
Caroline,,President,,Democratic,Eldrige Kennedy Hodge,0,
Caroline,,President,,Republican,Harriet H. Gleason,0,
